Timestamp,Grid Size,Environment Type,Trial ID,Algorithm,Nodes Expanded,Execution Time (ns),Path Length,Peak Memory (Nodes in Open),Success
2026-01-24T18:43:22.428394,64,Open Field,1,A*,499,5550900,45.55634918610403,174,True
2026-01-24T18:43:22.455968,64,Open Field,1,BFS,3272,27573400,45.55634918610402,130,True
2026-01-24T18:43:22.483767,64,Open Field,1,Dijkstra,3327,27799500,45.55634918610403,147,True
2026-01-24T18:43:22.483767,64,Open Field,1,Greedy Best-First,42,0,45.55634918610405,110,True
2026-01-24T18:43:22.491226,64,Open Field,1,JPS,3,7459000,45.55634918610405,1,True
2026-01-24T18:43:22.500562,64,Open Field,2,A*,499,5275700,48.727922061357845,166,True
2026-01-24T18:43:22.519181,64,Open Field,2,BFS,3027,18619500,48.72792206135783,107,True
2026-01-24T18:43:22.545405,64,Open Field,2,Dijkstra,2944,26223200,48.727922061357845,122,True
2026-01-24T18:43:22.546580,64,Open Field,2,Greedy Best-First,46,1175100,48.72792206135786,114,True
2026-01-24T18:43:22.553710,64,Open Field,2,JPS,3,7129900,48.72792206135786,1,True
2026-01-24T18:43:22.555722,64,Open Field,3,A*,61,0,19.55634918610405,95,True
2026-01-24T18:43:22.562881,64,Open Field,3,BFS,893,7159100,19.55634918610405,124,True
2026-01-24T18:43:22.573145,64,Open Field,3,Dijkstra,1179,10264400,19.55634918610405,162,True
2026-01-24T18:43:22.573145,64,Open Field,3,Greedy Best-First,16,0,19.55634918610405,58,True
2026-01-24T18:43:22.580877,64,Open Field,3,JPS,3,7732000,19.55634918610405,1,True
2026-01-24T18:43:22.583901,64,Open Field,4,A*,85,0,18.656854249492383,58,True
2026-01-24T18:43:22.592216,64,Open Field,4,BFS,1096,8314200,18.656854249492383,112,True
2026-01-24T18:43:22.602454,64,Open Field,4,Dijkstra,1031,10238300,18.656854249492383,135,True
2026-01-24T18:43:22.602979,64,Open Field,4,Greedy Best-First,18,0,18.65685424949238,48,True
2026-01-24T18:43:22.663912,64,Open Field,4,JPS,3,60933400,18.65685424949238,1,True
2026-01-24T18:43:22.677657,64,Open Field,5,A*,263,4010500,44.65685424949237,113,True
2026-01-24T18:43:22.739363,64,Open Field,5,BFS,3977,61705700,44.65685424949237,154,True
2026-01-24T18:43:22.784971,64,Open Field,5,Dijkstra,3764,44707800,44.65685424949237,175,True
2026-01-24T18:43:22.785497,64,Open Field,5,Greedy Best-First,44,525400,44.65685424949238,100,True
2026-01-24T18:43:22.792943,64,Open Field,5,JPS,3,6919500,44.65685424949238,1,True
2026-01-24T18:43:22.800320,64,Open Field,6,A*,333,3512600,35.97056274847714,155,True
2026-01-24T18:43:22.809886,64,Open Field,6,BFS,1464,9566700,35.97056274847714,80,True
2026-01-24T18:43:22.822731,64,Open Field,6,Dijkstra,1562,12844400,35.970562748477136,101,True
2026-01-24T18:43:22.822731,64,Open Field,6,Greedy Best-First,32,0,35.97056274847715,92,True
2026-01-24T18:43:22.832533,64,Open Field,6,JPS,3,9802200,35.97056274847715,1,True
2026-01-24T18:43:22.849400,64,Open Field,7,A*,819,9086200,59.384776310850214,222,True
2026-01-24T18:43:22.871305,64,Open Field,7,BFS,3382,20902400,59.3847763108502,119,True
2026-01-24T18:43:22.895847,64,Open Field,7,Dijkstra,3203,24541800,59.384776310850214,135,True
2026-01-24T18:43:22.896849,64,Open Field,7,Greedy Best-First,55,1002300,59.38477631085024,140,True
2026-01-24T18:43:22.903394,64,Open Field,7,JPS,3,6544600,59.38477631085024,1,True
